RULENAME,Original_Original,m1_GhoToken_2.sol,m2_GhoToken_3.sol,m3_GhoToken_1.sol,m4_GhoToken_4.sol,m5_GhoToken_5.sol,m6_GhoToken_6.sol,m7_GhoToken_Participation.sol
noBurn,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
distributeFeesToTreasuryCorrectness,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
noTransfer,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
linearityOfHandleRepayment,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
transferUnderlyingToCantExceedCapacity,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
integrityTransferUnderlyingToWithHandleRepayment,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
envfreeFuncsStaticCheck,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
handleRepaymentCorrectness,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
rescueTokensCorrectness,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
sanity,FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
handleRepaymentCorrectness_conditionalSatisfiability2,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
initializeCorrectness,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
handleRepaymentCorrectness_conditionalSatisfiability1,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
updateGhoTreasuryCorrectness,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
functionsShouldRevert,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
totalSupplyAlwaysZero,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL,TIMEOUT/UNKNOWN/SANITY_FAIL
